Basic Conductors 	Conductive 	Very Common
Bio-Mechanical Conduits 	Thargoid Components 	Standard 	Thargoid encounters
Biotech Conductors 	Conductive 	Very Rare 	Missions
Chemical Distillery 	Chemical 	Standard
Chemical Manipulators 	Chemical 	Rare
Chemical Processors 	Chemical 	Common
Chemical Storage Units 	Chemical 	Very Common
Compact Composites 	Composite 	Very Common
Compound Shielding 	Shielding 	Rare
Conductive Ceramics 	Conductive 	Standard
Conductive Components 	Conductive 	Common
Conductive Polymers 	Conductive 	Rare
Configurable Components 	Mechanical Components 	Rare
Core Dynamics Composites 	Composite 	Very Rare 	Federation systems (HGE)
Crystal Shards 	Crystals 	Very Common
Electrochemical Arrays 	Capacitors 	Standard
Exquisite Focus Crystals 	Crystals 	Very Rare 	Missions
Filament Composites 	Composite 	Common
Flawed Focus Crystals 	Crystals 	Common
Focus Crystals 	Crystals 	Standard
Galvanising Alloys 	Alloys 	Common
Grid Resistors 	Capacitors 	Very Common
Guardian Power Cell 	Guardian Components 	Very Common 	Guardian sites
Guardian Power Conduit 	Guardian Components 	Common 	Guardian sites
Guardian Sentinel Weapon Parts 	Guardian Components 	Standard 	Guardian sites
Guardian Technology Component 	Guardian Components 	Common 	Guardian sites
Guardian Wreckage Components 	Guardian Components 	Very Common 	Guardian sites
Heat Conduction Wiring 	Heat 	Very Common
Heat Dispersion Plate 	Heat 	Common
Heat Exchangers 	Heat 	Standard
Heat Resistant Ceramics 	Thermic 	Common
Heat Vanes 	Heat 	Rare
High Density Composites 	Composite 	Standard
Hybrid Capacitors 	Capacitors 	Common
Imperial Shielding 	Shielding 	Very Rare 	Empire systems (HGE)
Improvised Components 	Mechanical Components 	Very Rare 	Civil unrest systems (HGE)
Mechanical Components 	Mechanical Components 	Standard
Mechanical Equipment 	Mechanical Components 	Common
Mechanical Scrap 	Mechanical Components 	Very Common
Military Grade Alloys 	Thermic 	Very Rare 	War/Civil war/Civil unrest systems (HGE)
Military Supercapacitors 	Capacitors 	Very Rare 	War/civil war systems (HGE)
Pharmaceutical Isolators 	Chemical 	Very Rare 	Outbreak systems (HGE)
Phase Alloys 	Alloys 	Standard
Polymer Capacitors 	Capacitors 	Rare
Precipitated Alloys 	Thermic 	Standard
Proprietary Composites 	Composite 	Rare
Propulsion Elements 	Thargoid Components 	Standard 	Thargoid encounters
Proto Heat Radiators 	Heat 	Very Rare 	Independent boom systems (HGE)
Proto Light Alloys 	Alloys 	Rare
Proto Radiolic Alloys 	Alloys 	Very Rare 	Independent boom systems (HGE)
Refined Focus Crystals 	Crystals 	Rare
Salvaged Alloys 	Alloys 	Very Common
Sensor Fragment 	Thargoid Components 	Very Rare 	Thargoid encounters
Shield Emitters 	Shielding 	Common
Shielding Sensors 	Shielding 	Standard
Tempered Alloys 	Thermic 	Very Common
Thargoid Carapace 	Thargoid Components 	Common 	Thargoid encounters
Thargoid Energy Cell 	Thargoid Components 	Standard 	Thargoid encounters
Thargoid Organic Circuitry 	Thargoid Components 	Very Rare 	Thargoid encounters
Thargoid Technology Components 	Thargoid Components 	Rare 	Thargoid encounters
Thermic Alloys 	Thermic 	Rare
Weapon Parts 	Thargoid Components 	Standard 	Thargoid encounters
Worn Shield Emitters 	Shielding 	Very Common
Wreckage Components 	Thargoid Components 	Standard 	Thargoid encounters 